randomizedScaledData
1,0.753631,-0.883256,-1.311603,-0.927955,-1.454261,-1.025308,-0.959477,-1.234874,-0.021541,-0.19569,-0.906177,0.829113,0.73444,0.916251,6229
2,0.024345,-0.186583,-0.061948,-0.055212,0.793662,-0.415275,-0.729673,-1.085249,0.55495,3.300926,-1.427035,-0.673823,1.718508,2.154797,7775
2,-0.761041,-0.186583,-0.061948,-0.055212,0.793662,-0.386226,-0.335724,-0.411938,0.55495,-0.298532,-0.352766,0.29235,0.078395,0.296978,8495
-1,-1.574476,0.800371,0.2765,0.458166,0.441046,-0.097809,0.091054,0.036936,1.029707,-0.375663,-0.124891,-1.962055,0.078395,-0.012658,10898
1,1.118275,-1.01872,-1.311603,-0.927955,-1.366107,-0.655969,-0.696844,-1.010437,0.521038,-0.658478,0.200645,0.829113,-0.413638,-0.322294,7689
1,0.192642,-0.72844,-0.61735,-0.927955,0.264739,-1.058507,-0.729673,-0.561563,0.181926,-0.19569,-0.873624,0.184998,0.73444,0.761433,7299
-1,-1.32203,1.168059,1.422018,0.81753,1.587046,1.188654,0.714807,1.795025,-0.292831,-0.16998,0.591288,0.614408,-0.57765,-0.631931,13415
3,2.128056,0.897131,0.962075,1.074219,-0.837184,1.151305,1.69968,-0.112689,0.385393,-0.221401,2.121306,0.184998,-1.233695,-1.251204,15998
-1,-0.78909,2.271125,1.604259,2.409002,1.146277,2.186701,2.093629,1.046902,1.368819,2.91527,0.88427,-1.639997,-0.741661,-1.096385,25552
1,1.314621,-0.72844,-0.322293,-0.825279,-0.572723,-0.334353,-0.696844,-0.224907,-0.530209,-0.19569,0.526181,3.190871,-0.085616,-0.477113,9538
2,0.024345,-0.186583,-0.061948,-0.055212,0.793662,-0.523172,-0.335724,-0.411938,0.55495,-0.298532,-0.352766,0.29235,0.078395,0.296978,7975
0,-1.013486,-0.263991,0.102937,-0.10655,0.441046,0.391877,-0.368553,1.196527,-2.022303,-0.632767,0.493627,-0.673823,-0.57765,-1.406022,11694
1,-0.648843,-0.72844,-1.433098,-1.03063,-0.837184,-1.218278,-0.959477,-1.010437,-0.428476,-0.144269,-0.84107,0.614408,1.882519,1.690342,6295
2,0.360939,0.02629,0.328569,-0.003875,-0.837184,0.524673,0.878952,1.196527,0.894062,-0.221401,0.656395,-0.673823,-0.413638,-0.322294,11549
0,0.192642,0.41333,0.805868,0.458166,0.5292,1.315226,2.02797,0.48581,0.114104,-0.298532,1.828324,0.184998,-1.561717,-1.56084,13499
2,-0.761041,-0.186583,-0.061948,-0.055212,0.793662,-0.334353,-0.335724,-0.411938,0.55495,-0.041428,0.135538,0.829113,-0.085616,-0.012658,9995
0,-1.125684,-0.72844,-1.181431,-1.03063,-0.837184,-1.145655,-0.959477,-1.010437,-0.428476,-0.144269,-0.84107,0.614408,1.882519,1.690342,6575
2,0.445087,-2.25725,-2.41373,-0.876617,-1.366107,-1.552343,-0.893818,-1.459311,0.588861,-0.144269,-1.231713,-0.673823,3.686643,3.393342,6479
3,0.669483,-0.457511,0.068225,0.35549,-1.630569,0.725942,1.207243,1.121714,2.25051,-0.81274,1.600449,-0.244413,-1.233695,-1.251204,12964
0,-0.424447,-0.205935,0.085581,-0.209226,0.352893,-0.284554,0.025396,0.111748,0.792328,-0.427084,0.037877,0.184998,0.078395,0.296978,8949
1,-0.480546,-0.999368,-1.155396,-0.722604,0.088431,-1.185079,-0.926647,-1.010437,-0.292831,-0.298532,-0.906177,-0.244413,0.570429,-0.167476,5195
2,-0.003705,-1.908914,-2.717466,-2.724778,-0.308261,-2.019205,-1.91152,-1.459311,-0.699765,-0.16998,-1.557249,-0.029708,3.358621,3.238524,5151
0,-0.845189,-0.496215,-0.530569,-0.619928,-0.396415,-0.788765,-0.696844,-0.411938,-0.699765,-0.298532,-0.84107,-0.673823,0.570429,0.761433,6938
0,1.118275,1.864733,1.239776,1.433584,1.234431,1.640992,1.075927,1.495776,0.961884,2.786718,-0.02723,-2.069407,0.242407,0.14216,16900
2,-0.761041,-0.186583,-0.061948,-0.055212,0.793662,-0.516948,-0.335724,-0.411938,0.55495,-0.298532,-0.352766,0.29235,0.078395,0.296978,8195
0,-0.845189,-0.496215,-0.235511,-1.03063,2.292277,1.34635,-0.893818,-0.935625,-0.699765,-0.298532,-1.101499,-0.673823,0.078395,-0.012658,8778
3,2.128056,0.897131,0.962075,1.074219,-0.837184,1.068308,1.69968,-0.112689,0.385393,-0.221401,2.121306,0.184998,-1.069683,-1.251204,16558
